latitude,longitude,valid_time,msl,sst,vertical_wind_shear,relative_humidity,vorticity
6.0,-99.0,2020-05-07 00:00:00,100857.0,302.0,6.3533897,70.68229,1.3573421e-05
6.0,-99.0,2020-05-20 00:00:00,100948.0,302.0,4.723331,91.98209,1.4796605e-05
6.0,-99.0,2020-05-20 12:00:00,100979.0,302.0,3.0854807,91.52584,0.00011004306
6.0,-99.0,2020-05-21 00:00:00,100929.0,302.0,6.755966,78.60049,4.1977284e-05
6.0,-99.0,2020-07-19 12:00:00,100904.0,301.0,8.187444,65.447105,1.7657612e-05
6.0,-99.0,2020-07-30 00:00:00,100883.0,301.0,4.968868,66.88149,1.0973712e-05
6.0,-99.0,2020-10-13 00:00:00,100942.0,300.0,7.9096713,87.686905,1.0673019e-05
6.0,-99.0,2020-10-16 00:00:00,100784.0,300.0,5.287311,83.08471,3.32292e-05
6.0,-99.0,2020-10-16 12:00:00,100863.0,300.0,1.8092648,65.339134,1.6445807e-05
6.0,-99.0,2020-10-17 00:00:00,100825.0,300.0,2.9092708,78.86006,7.43513e-05
6.0,-98.0,2020-05-04 00:00:00,100837.0,302.0,9.755924,70.254074,1.4620778e-05
6.0,-98.0,2020-05-09 00:00:00,100860.0,302.0,8.935192,74.52886,1.24519975e-05
6.0,-98.0,2020-07-19 12:00:00,100893.0,301.0,7.8681197,63.83789,1.7753775e-05
6.0,-98.0,2020-08-01 00:00:00,100926.0,301.0,5.59785,67.08518,6.246373e-05
6.0,-98.0,2020-10-13 00:00:00,100946.0,300.0,5.908324,81.061584,2.3836903e-05
6.0,-98.0,2020-10-15 18:00:00,100998.0,300.0,9.414313,83.02937,5.1046936e-05
6.0,-98.0,2020-10-16 00:00:00,100768.0,300.0,4.2662163,85.05087,6.197453e-05
6.0,-98.0,2020-10-16 12:00:00,100872.0,300.0,1.1013203,70.76904,6.2621526e-05
6.0,-98.0,2020-10-17 00:00:00,100841.0,300.0,3.8076632,84.985275,1.9730795e-05
6.0,-97.0,2020-05-08 00:00:00,100912.0,303.0,9.545832,74.1808,3.3689506e-05
6.0,-97.0,2020-05-10 00:00:00,100912.0,303.0,5.953389,68.95438,1.4616798e-05
6.0,-97.0,2020-05-14 00:00:00,100990.0,303.0,2.701425,79.13628,7.93254e-05
6.0,-97.0,2020-05-16 12:00:00,100949.0,302.0,5.891146,69.35974,1.3319046e-05
6.0,-97.0,2020-05-20 12:00:00,100973.0,302.0,6.956215,96.553444,2.8189987e-05
6.0,-97.0,2020-07-19 12:00:00,100885.0,301.0,7.459674,68.67653,1.2319023e-05
6.0,-97.0,2020-10-13 00:00:00,100943.0,300.0,6.7410116,80.81009,2.7223241e-05
6.0,-97.0,2020-10-16 00:00:00,100750.0,300.0,4.924906,81.94278,7.771016e-05
6.0,-97.0,2020-10-16 12:00:00,100856.0,300.0,2.4983027,63.484703,1.4675548e-05
6.0,-97.0,2020-10-17 00:00:00,100835.0,300.0,4.315884,95.81814,1.2948582e-05
6.0,-96.0,2020-05-03 00:00:00,100995.0,303.0,7.272549,78.73207,2.3682154e-05
6.0,-96.0,2020-05-05 00:00:00,100856.0,303.0,9.854798,83.11325,1.3675354e-05
6.0,-96.0,2020-05-16 12:00:00,100954.0,303.0,6.629206,68.37474,3.763496e-05
6.0,-96.0,2020-07-18 00:00:00,100931.0,301.0,1.4458336,60.972687,1.7575361e-05
6.0,-96.0,2020-07-19 00:00:00,100911.0,301.0,9.551058,68.560814,2.9805815e-05
6.0,-96.0,2020-07-19 12:00:00,100889.0,301.0,6.6461368,71.7793,2.4061137e-05
6.0,-96.0,2020-10-12 12:00:00,100996.0,300.0,6.873981,72.361046,2.4030776e-05
6.0,-96.0,2020-10-13 00:00:00,100956.0,300.0,8.209714,84.05283,1.29054115e-05
6.0,-96.0,2020-10-16 00:00:00,100708.0,300.0,7.1707053,79.9079,7.331968e-05
6.0,-96.0,2020-10-16 06:00:00,100979.0,300.0,7.1775613,77.02338,8.821508e-05
6.0,-96.0,2020-10-16 12:00:00,100853.0,300.0,4.263541,92.97359,7.917731e-05
6.0,-96.0,2020-11-23 00:00:00,100864.0,300.0,9.745586,86.18069,2.1390337e-05
6.0,-95.0,2020-05-05 00:00:00,100827.0,303.0,7.4818144,90.22592,5.604035e-05
6.0,-95.0,2020-05-05 12:00:00,100975.0,303.0,7.1332603,70.48368,1.6142412e-05
6.0,-95.0,2020-05-07 12:00:00,100938.0,303.0,4.789794,62.219177,1.1310354e-05
6.0,-95.0,2020-05-09 00:00:00,100912.0,303.0,5.328508,91.36038,1.1155397e-05
6.0,-95.0,2020-05-16 00:00:00,100851.0,303.0,5.7362604,84.73955,1.2306155e-05
6.0,-95.0,2020-07-19 00:00:00,100902.0,301.0,7.3575087,75.315544,3.8750484e-05
6.0,-95.0,2020-08-14 00:00:00,100851.0,300.0,8.745362,82.67453,3.748817e-05
