latitude,longitude,valid_time,msl,sst,vertical_wind_shear,relative_humidity,vorticity
28.0,-79.0,2020-05-16 18:00:00,100933.0,299.0,3.7306197,65.4024,0.00017558565
28.0,-78.0,2020-05-16 18:00:00,101065.0,299.0,4.696961,73.052444,0.0001436912
28.0,-78.0,2020-05-17 00:00:00,100989.0,299.0,11.209113,71.47708,0.00014986984
29.0,-78.0,2020-05-17 00:00:00,100933.0,298.0,10.88055,71.3205,0.00017834853
29.0,-78.0,2020-05-17 06:00:00,100975.0,298.0,6.7819996,67.788246,0.0001462413
29.0,-77.0,2020-05-17 06:00:00,101053.0,298.0,9.961258,78.2556,0.0001504474
30.0,-78.0,2020-05-17 06:00:00,100978.0,298.0,9.9199095,70.19047,0.00016420375
30.0,-77.0,2020-05-17 06:00:00,101065.0,297.0,3.56652,75.57652,0.00015622906
30.0,-78.0,2020-05-17 12:00:00,100961.0,298.0,6.9209366,77.149475,0.00018448797
30.0,-77.0,2020-05-17 12:00:00,100967.0,297.0,8.013131,77.6427,0.00020812877
31.0,-78.0,2020-05-17 12:00:00,100996.0,298.0,14.583796,81.8302,0.00017163483
31.0,-77.0,2020-05-17 12:00:00,100974.0,298.0,5.7551312,84.502235,0.00019827149
31.0,-78.0,2020-05-17 18:00:00,100943.0,298.0,9.037192,75.309944,0.00018444537
31.0,-77.0,2020-05-17 18:00:00,100939.0,298.0,4.471104,87.66905,0.0002341477
31.0,-77.0,2020-05-18 00:00:00,100779.0,298.0,4.1152544,74.84571,0.0001740302
32.0,-77.0,2020-05-18 00:00:00,100643.0,299.0,4.8845015,77.22436,0.0003065353
33.0,-77.0,2020-05-18 06:00:00,100550.0,299.0,5.5311823,75.963615,0.00029224314
33.0,-76.0,2020-05-18 06:00:00,100642.0,298.0,11.05955,79.87186,0.00024080965
34.0,-77.0,2020-05-18 06:00:00,100763.0,297.0,13.648763,83.80076,0.00018388322
34.0,-76.0,2020-05-18 06:00:00,100810.0,298.0,11.4764,92.27472,0.00016741407
34.0,-76.0,2020-05-18 12:00:00,100413.0,298.0,10.5630455,93.90095,0.00030055697
34.0,-75.0,2020-05-18 12:00:00,100454.0,296.0,12.68534,88.97513,0.00032026315
35.0,-76.0,2020-05-18 12:00:00,100496.0,295.0,13.16863,95.44362,0.0002594903
35.0,-75.0,2020-05-18 12:00:00,100577.0,298.0,14.5599785,101.78632,0.0002838156
35.0,-75.0,2020-05-18 18:00:00,100182.0,298.0,6.576107,76.58896,0.0004014959
35.0,-74.0,2020-05-18 18:00:00,100373.0,297.0,14.028168,77.97776,0.00024619533
36.0,-75.0,2020-05-18 18:00:00,100273.0,292.0,16.766386,86.45561,0.00041850045
36.0,-74.0,2020-05-18 18:00:00,100377.0,296.0,15.81028,92.88868,0.00029210205
36.0,-74.0,2020-05-19 00:00:00,100417.0,297.0,21.798344,68.79149,0.00029615127
36.0,-73.0,2020-05-19 00:00:00,100155.0,295.0,9.391664,72.04029,0.00033671662
37.0,-74.0,2020-05-19 00:00:00,100569.0,291.0,30.026962,84.760345,0.0001679799
37.0,-73.0,2020-05-19 00:00:00,100310.0,295.0,22.753147,95.688385,0.0002763822
36.0,-72.0,2020-05-19 06:00:00,100378.0,295.0,16.060312,72.82107,0.00021467358
36.0,-71.0,2020-05-19 06:00:00,100331.0,294.0,2.611786,63.958103,0.00023074847
37.0,-72.0,2020-05-19 06:00:00,100160.0,297.0,27.292694,88.67841,0.0003543765
37.0,-71.0,2020-05-19 06:00:00,99950.0,296.0,17.431793,85.13145,0.00039167306
37.0,-70.0,2020-05-19 12:00:00,100106.0,296.0,19.456633,85.6676,0.00044484145
37.0,-69.0,2020-05-19 12:00:00,100091.0,297.0,9.833169,84.60711,0.00034565676
36.0,-68.0,2020-05-19 18:00:00,100352.0,296.0,2.7922878,66.14273,0.00029568732
36.0,-67.0,2020-05-19 18:00:00,100557.0,294.0,12.468065,72.22234,0.00014932454
37.0,-68.0,2020-05-19 18:00:00,100148.0,297.0,28.073383,85.68747,0.0003340592
37.0,-67.0,2020-05-19 18:00:00,100404.0,296.0,21.037075,94.09206,0.0002554208
36.0,-67.0,2020-05-20 00:00:00,100467.0,294.0,16.066357,70.9063,0.00033034358
36.0,-66.0,2020-05-20 00:00:00,100546.0,293.0,13.301075,76.91804,0.00030933812
37.0,-67.0,2020-05-20 00:00:00,100860.0,296.0,47.72417,87.08895,0.00032118833
37.0,-66.0,2020-05-20 00:00:00,100859.0,293.0,47.517456,93.11491,0.00028700306
35.0,-66.0,2020-05-20 06:00:00,100746.0,293.0,3.6408098,56.297886,0.00020166535
36.0,-66.0,2020-05-20 06:00:00,100773.0,293.0,29.17831,82.81676,0.00035254445
34.0,-66.0,2020-05-20 12:00:00,101097.0,294.0,12.4158325,71.81788,0.00010637777
34.0,-65.0,2020-05-20 12:00:00,101021.0,294.0,7.1199007,78.724525,4.536407e-05
35.0,-66.0,2020-05-20 12:00:00,100957.0,293.0,23.837801,63.508896,0.00025661485
35.0,-65.0,2020-05-20 12:00:00,100721.0,293.0,10.849389,54.95855,0.00028043287
33.0,-66.0,2020-05-20 18:00:00,101282.0,294.0,11.887432,63.59036,0.00011510984
33.0,-65.0,2020-05-20 18:00:00,101145.0,294.0,7.92521,62.94826,7.195939e-05
34.0,-66.0,2020-05-20 18:00:00,101016.0,294.0,23.70583,65.90474,0.0003305495
34.0,-65.0,2020-05-20 18:00:00,100882.0,294.0,15.750831,60.29739,0.00032241474
32.0,-65.0,2020-05-21 00:00:00,101303.0,295.0,13.296309,41.15337,0.00017183395
33.0,-65.0,2020-05-21 00:00:00,101248.0,294.0,31.932587,78.583305,0.00027178894
31.0,-79.0,2020-05-27 06:00:00,101235.0,300.0,6.0064588,77.47339,5.8737765e-05
31.0,-78.0,2020-05-27 06:00:00,101337.0,299.0,3.619975,77.94386,3.073683e-05
32.0,-79.0,2020-05-27 06:00:00,101333.0,299.0,14.418238,94.58918,0.00010928184
32.0,-78.0,2020-05-27 06:00:00,101409.0,300.0,11.874043,94.94542,0.00015113543
32.0,-80.0,2020-05-27 12:00:00,101163.0,298.0,12.474286,75.70566,0.00014334191
32.0,-79.0,2020-05-27 12:00:00,101251.0,299.0,6.798297,78.82024,0.00012609828
33.0,-80.0,2020-05-27 12:00:00,101273.0,297.0,13.78471,89.26868,0.0003134496
33.0,-79.0,2020-05-27 12:00:00,101241.0,297.0,7.2814035,84.88638,0.00029120978
33.0,-81.0,2020-05-27 18:00:00,101270.0,,21.704851,69.442245,0.00016636594
33.0,-80.0,2020-05-27 18:00:00,101195.0,297.0,13.351559,78.77116,0.000116620555
34.0,-81.0,2020-05-27 18:00:00,101398.0,,16.17198,82.645645,0.00019879351
34.0,-80.0,2020-05-27 18:00:00,101316.0,,5.175342,89.59514,0.00018356333
34.0,-81.0,2020-05-28 00:00:00,101407.0,,18.516916,84.06512,2.9116387e-05
34.0,-80.0,2020-05-28 00:00:00,101382.0,,12.718836,74.25983,0.00011019341
35.0,-81.0,2020-05-28 00:00:00,101346.0,,20.259659,98.05921,0.0002925232
35.0,-80.0,2020-05-28 00:00:00,101295.0,,9.69796,88.89298,0.00020544679
37.0,-82.0,2020-05-28 06:00:00,101502.0,,21.787132,85.921,0.0001730923
37.0,-81.0,2020-05-28 06:00:00,101418.0,,8.50596,85.42724,0.00034234894
38.0,-82.0,2020-05-28 06:00:00,101459.0,,23.086008,95.125885,7.249078e-05
38.0,-81.0,2020-05-28 06:00:00,101429.0,,17.03684,98.248085,6.6300636e-05
39.0,-81.0,2020-05-28 12:00:00,101485.0,,27.226051,74.76197,0.0001731272
39.0,-80.0,2020-05-28 12:00:00,101519.0,,12.1751795,66.979256,0.00012440041
40.0,-81.0,2020-05-28 12:00:00,101404.0,,15.838872,83.271965,0.00026309845
40.0,-80.0,2020-05-28 12:00:00,101426.0,,10.185771,74.48259,0.00011988793
19.0,-91.0,2020-06-01 18:00:00,100916.0,303.0,9.609555,91.04405,0.00018162852
19.0,-90.0,2020-06-01 18:00:00,101040.0,,15.047833,100.73718,7.1426155e-05
20.0,-91.0,2020-06-01 18:00:00,101009.0,302.0,10.046592,90.299164,0.00014266762
20.0,-90.0,2020-06-01 18:00:00,101113.0,303.0,10.219168,97.507744,5.7578804e-05
19.0,-92.0,2020-06-02 00:00:00,100663.0,303.0,5.1533737,84.47435,0.00014878124
19.0,-91.0,2020-06-02 00:00:00,100717.0,303.0,12.968433,85.495865,0.00012313931
20.0,-92.0,2020-06-02 00:00:00,100703.0,302.0,9.6551075,97.47966,0.00018970856
20.0,-91.0,2020-06-02 00:00:00,100728.0,303.0,20.442911,97.74388,0.0002183935
19.0,-93.0,2020-06-02 06:00:00,100729.0,303.0,10.367509,87.709984,0.00015483906
19.0,-92.0,2020-06-02 06:00:00,100758.0,303.0,10.873298,84.91423,0.00015936304
20.0,-93.0,2020-06-02 06:00:00,100585.0,302.0,3.2366993,97.24262,0.00044798065
20.0,-92.0,2020-06-02 06:00:00,100734.0,302.0,16.541218,86.269806,0.00020760664
19.0,-93.0,2020-06-02 12:00:00,100365.0,303.0,12.48977,90.57601,0.00039579775
19.0,-92.0,2020-06-02 12:00:00,100505.0,303.0,15.566071,97.44241,0.00026146477
20.0,-93.0,2020-06-02 12:00:00,100510.0,302.0,4.483485,75.8971,0.0001856556
20.0,-92.0,2020-06-02 12:00:00,100583.0,302.0,8.985205,83.948616,0.00016311948
19.0,-93.0,2020-06-02 18:00:00,100427.0,303.0,13.123184,81.81972,0.00021182705
19.0,-92.0,2020-06-02 18:00:00,100421.0,303.0,12.567551,94.01973,0.00035196816
20.0,-93.0,2020-06-02 18:00:00,100540.0,302.0,5.2185273,75.00619,0.0001746662
20.0,-92.0,2020-06-02 18:00:00,100540.0,302.0,11.890347,85.01807,0.00022118166
19.0,-93.0,2020-06-03 00:00:00,100332.0,303.0,9.592385,83.18936,0.00020142974
19.0,-92.0,2020-06-03 00:00:00,100252.0,303.0,10.136183,98.19492,0.00042684004
18.0,-93.0,2020-06-03 06:00:00,100687.0,,16.409025,91.50524,8.07525e-05
18.0,-92.0,2020-06-03 06:00:00,100562.0,,15.180656,95.3029,0.000104586405
19.0,-93.0,2020-06-03 06:00:00,100350.0,303.0,8.241621,89.52253,0.00030044199
19.0,-92.0,2020-06-03 06:00:00,100233.0,303.0,7.6739497,89.57868,0.00049083645
18.0,-93.0,2020-06-03 12:00:00,100474.0,,14.218822,84.23573,0.00012387641
18.0,-92.0,2020-06-03 12:00:00,100233.0,,19.190649,83.05183,0.00014582454
19.0,-93.0,2020-06-03 12:00:00,100255.0,303.0,5.56946,74.75614,0.00021586491
19.0,-92.0,2020-06-03 12:00:00,99950.0,303.0,10.324695,90.72818,0.0005949976
18.0,-92.0,2020-06-03 18:00:00,100165.0,,17.09251,93.840324,0.0002684853
18.0,-91.0,2020-06-03 18:00:00,100290.0,,12.476647,83.938675,4.036102e-05
19.0,-92.0,2020-06-03 18:00:00,100112.0,303.0,5.4256396,89.660286,0.00034244923
19.0,-91.0,2020-06-03 18:00:00,100300.0,303.0,14.861153,90.875305,4.4040615e-05
18.0,-92.0,2020-06-04 00:00:00,100025.0,,15.168888,95.71226,0.00032441382
18.0,-91.0,2020-06-04 00:00:00,100015.0,,16.277378,91.83133,0.00018856306
19.0,-92.0,2020-06-04 00:00:00,100052.0,302.0,10.575429,94.22404,0.00022694845
19.0,-91.0,2020-06-04 00:00:00,100080.0,303.0,16.579733,87.91555,7.788519e-05
17.0,-92.0,2020-06-04 06:00:00,100617.0,,6.98712,89.23329,-9.050026e-05
17.0,-91.0,2020-06-04 06:00:00,100392.0,,15.751709,87.70178,1.7430504e-05
18.0,-92.0,2020-06-04 06:00:00,100210.0,,10.258348,94.727715,0.00034773033
18.0,-91.0,2020-06-04 06:00:00,100247.0,,17.921526,98.041885,0.00023423378
17.0,-92.0,2020-06-04 12:00:00,100516.0,,8.644272,98.09745,-0.00013388782
17.0,-91.0,2020-06-04 12:00:00,100312.0,,12.492741,99.665146,4.386118e-05
18.0,-92.0,2020-06-04 12:00:00,100203.0,,7.538462,87.57085,0.00030737955
18.0,-91.0,2020-06-04 12:00:00,100210.0,,12.598001,99.44589,0.00019669146
17.0,-91.0,2020-06-04 18:00:00,100428.0,,10.625777,98.43539,0.00011770973
17.0,-90.0,2020-06-04 18:00:00,100438.0,,11.905471,96.920616,7.884684e-05
18.0,-91.0,2020-06-04 18:00:00,100373.0,,8.201181,98.66827,0.0002715387
18.0,-90.0,2020-06-04 18:00:00,100464.0,,11.218087,97.72331,7.65771e-05
17.0,-91.0,2020-06-05 00:00:00,100365.0,,10.23695,98.28168,3.5418998e-05
17.0,-90.0,2020-06-05 00:00:00,100341.0,,10.733499,97.299225,9.058442e-05
18.0,-91.0,2020-06-05 00:00:00,100305.0,,1.1648399,96.36069,0.00015705155
18.0,-90.0,2020-06-05 00:00:00,100327.0,,10.323594,96.05959,0.00022364869
18.0,-91.0,2020-06-05 06:00:00,100487.0,,9.681117,90.30448,0.00011497736
18.0,-90.0,2020-06-05 06:00:00,100475.0,,11.31658,98.178474,0.00022065878
19.0,-91.0,2020-06-05 06:00:00,100432.0,302.0,4.5015497,97.457855,0.00015390581
19.0,-90.0,2020-06-05 06:00:00,100432.0,,9.835463,99.581825,0.00016984344
19.0,-90.0,2020-06-05 12:00:00,100294.0,,13.067479,101.67027,0.00022162948
19.0,-89.0,2020-06-05 12:00:00,100379.0,,16.208817,101.94085,0.000163458
20.0,-90.0,2020-06-05 12:00:00,100292.0,303.0,4.421951,101.4359,0.00018915329
20.0,-89.0,2020-06-05 12:00:00,100313.0,,14.399477,101.94346,0.00022405937
20.0,-90.0,2020-06-05 18:00:00,100285.0,303.0,8.3589945,90.58771,0.0001414795
20.0,-89.0,2020-06-05 18:00:00,100327.0,,10.790963,97.713326,0.00014512929
21.0,-90.0,2020-06-05 18:00:00,100215.0,301.0,4.2804327,94.84275,0.00018629622
21.0,-89.0,2020-06-05 18:00:00,100272.0,,9.830164,96.83972,0.00017166793
22.0,-90.0,2020-06-06 00:00:00,100064.0,300.0,3.0307622,90.84097,0.00025241871
23.0,-91.0,2020-06-06 06:00:00,99966.0,301.0,9.967229,91.115875,0.00028342157
23.0,-90.0,2020-06-06 06:00:00,99923.0,301.0,8.07457,79.90676,0.00024098504
23.0,-91.0,2020-06-06 12:00:00,99945.0,301.0,16.288805,85.97173,0.00017238941
23.0,-90.0,2020-06-06 12:00:00,99765.0,301.0,11.156414,84.362274,0.00023119204
24.0,-91.0,2020-06-06 12:00:00,99790.0,301.0,9.522937,89.46644,0.00025000327
24.0,-90.0,2020-06-06 12:00:00,99693.0,301.0,3.4038393,84.11482,0.00023665739
24.0,-91.0,2020-06-06 18:00:00,99990.0,301.0,12.585887,84.466805,0.00018545329
24.0,-90.0,2020-06-06 18:00:00,99862.0,301.0,13.169609,84.29279,0.0002374751
25.0,-91.0,2020-06-06 18:00:00,99949.0,301.0,10.236392,86.59996,0.00014248364
25.0,-90.0,2020-06-06 18:00:00,99760.0,301.0,3.0861154,88.339195,0.00029515568
25.0,-91.0,2020-06-07 00:00:00,99829.0,300.0,15.918595,98.26577,0.00012238829
25.0,-90.0,2020-06-07 00:00:00,99607.0,300.0,8.862325,90.13017,0.00028637462
26.0,-91.0,2020-06-07 00:00:00,99730.0,301.0,14.616106,97.32288,0.00023204692
26.0,-90.0,2020-06-07 00:00:00,99484.0,301.0,3.4311447,84.48169,0.00028773362
26.0,-90.0,2020-06-07 06:00:00,99720.0,301.0,7.5431542,89.130226,0.00023513944
27.0,-90.0,2020-06-07 06:00:00,99572.0,300.0,2.6462426,86.34777,0.00027393847
28.0,-90.0,2020-06-07 12:00:00,99433.0,300.0,2.0673091,99.695595,0.00030501003
